energy_mev,eta_tot_lower,eta_tot_median,eta_tot_upper,eta_a_lower,eta_a_median,eta_a_upper,eta_f_lower,eta_f_median,eta_f_upper,eta_c_lower,eta_c_median,eta_c_upper,eta_o_lower,eta_o_median,eta_o_upper,eta_t_lower,eta_t_median,eta_t_upper,a_abs
102.9331388,0.008028879,0.040909873,0.058263815,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.110898784,0.517300425,0.718411567,0.39,0.46,0.53,0.864463763,0.868416017,0.872368272,0.259288846
102.9929111,0.010850161,0.044080795,0.059724678,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.147334946,0.554946343,0.727913191,0.39,0.46,0.53,0.86641651,0.870316111,0.874215713,0.259864985
103.0526958,0.013866338,0.046563456,0.060964627,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.185926979,0.583555237,0.734439077,0.39,0.46,0.53,0.868369495,0.872216432,0.87606337,0.260474576
103.1124681,0.016951337,0.048530345,0.062046443,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.225083976,0.605367738,0.739051335,0.39,0.46,0.53,0.870301122,0.874095468,0.877889815,0.261132906
103.1722404,0.019996989,0.050125221,0.063017711,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.263414151,0.622146052,0.742390336,0.39,0.46,0.53,0.872232749,0.875974505,0.87971626,0.261877899
103.2320126,0.022917504,0.0514492,0.063904386,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.299838137,0.635191438,0.744854606,0.39,0.46,0.53,0.874164376,0.877853541,0.881542706,0.26271102
103.2917849,0.025652389,0.052569317,0.064718055,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.333641677,0.645450291,0.746701565,0.39,0.46,0.53,0.876083587,0.879720482,0.883357376,0.263603513
103.3515572,0.028142461,0.053486659,0.065410695,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.364445027,0.653608391,0.748102634,0.39,0.46,0.53,0.877731464,0.881323097,0.88491473,0.264374199
103.4113419,0.030395009,0.054280557,0.066045395,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.392138553,0.660166003,0.749175263,0.39,0.46,0.53,0.879379682,0.882926044,0.886472407,0.265150944
103.4711142,0.032411995,0.054976887,0.066629612,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.416781462,0.665486637,0.750001136,0.39,0.46,0.53,0.881027559,0.88452866,0.888029761,0.265922608
