lower_bound_2s_Hz_per_meV
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
7.456758488148622615e-04
1.327098014093529808e-02
7.822805893657910903e-02
1.513068545803971654e-01
1.296912235746316422e-01
9.301473414477898216e-02
6.494042280589365501e-02
4.457527226137091708e-02
3.074567584881486224e-02
2.064830237027546339e-02
1.364381806534272976e-02
8.857142857142856832e-03
6.006406149903907588e-03
4.105060858424087675e-03
2.689301729660473813e-03
1.937219730941704089e-03
1.160794362588084489e-03
9.583600256245996705e-04
6.790518898142216143e-04
5.227418321588724786e-04
4.471492632927610584e-04
3.549007046764894222e-04
2.536835361947469589e-04
2.421524663677130111e-04
1.768097373478539377e-04
1.537475976937860422e-04
1.255605381165919327e-04
1.140294682895579849e-04
7.431133888532992764e-05
8.840486867392696887e-05
7.687379884689302112e-05
8.498825539184283971e-05
5.124919923126201182e-05
4.569720264787529348e-05
3.373905616058082112e-05
2.861413623745462061e-05
2.946828955797565290e-05
2.519752295537048807e-05
2.092675635276531986e-05
1.665598975016015164e-05
2.519752295537048807e-05
1.861358997661010346e-05
