upper_bound_2s_Hz_per_meV
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
1.281229980781568549e-06
2.293401665598980316e-04
5.739910313901351938e-03
6.409224855861628267e-02
2.341857783472133803e-01
3.518795643818066199e-01
3.235528507367072537e-01
2.636925048046124265e-01
2.202293401665599282e-01
1.619910313901345433e-01
1.136681614349775854e-01
8.074567584881486848e-02
5.756053811659193886e-02
4.093145419602819274e-02
2.913901345291480122e-02
2.093657911595131482e-02
1.424087123638693476e-02
9.582319026265218032e-03
6.901985906470211631e-03
4.608584240871236790e-03
3.414477898782832411e-03
2.535554131966688204e-03
1.746316463805253029e-03
1.226137091607943643e-03
9.519538757206918826e-04
8.251121076233184845e-04
6.342088404868675327e-04
5.522101217168482162e-04
4.497117232543241519e-04
3.600256245996156092e-04
3.203074951953875519e-04
3.100576553491352322e-04
2.690582959641255739e-04
2.101217168481743156e-04
2.331838565022422110e-04
1.708306641042067016e-04
1.285500747384155508e-04
1.110399316677343533e-04
9.438394191757420505e-05
9.395686525731368043e-05
9.395686525731368043e-05
7.730087550715354573e-05
7.303010890454836735e-05
7.303010890454836735e-05
6.918641896220372714e-05
2.666150201868212235e-05
