lower_bound_1s_Hz_per_meV
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
9.737347853939780281e-06
3.997437540038436665e-04
1.051582319026264992e-02
5.773427290198590578e-02
1.532586803331197900e-01
1.753265855221012026e-01
1.405493914157591451e-01
1.017588725176169079e-01
7.254785393978219199e-02
5.061217168481742246e-02
3.450762331838565233e-02
2.388878923766816001e-02
1.625727098014093791e-02
1.093555413196668769e-02
7.353235105701473248e-03
4.849711723254324092e-03
3.486995515695067490e-03
2.390262652146060013e-03
1.666111467008327910e-03
1.169506726457399072e-03
8.430493273542600304e-04
6.406149903907751037e-04
5.350416399743754573e-04
4.099935938500960946e-04
3.074951953875720845e-04
2.916079436258808182e-04
2.275464445868033458e-04
2.019218449711723297e-04
1.537475976937860422e-04
1.378603459320948031e-04
1.153106982703395317e-04
1.153106982703395317e-04
1.153106982703395317e-04
9.395686525731368043e-05
6.303651505445226485e-05
5.551996583386717665e-05
5.124919923126201182e-05
3.843689942344651056e-05
3.741191543882126910e-05
3.314114883621609750e-05
3.741191543882126910e-05
3.314114883621609750e-05
3.416613282084133896e-05
2.141263054392681934e-05
