upper_bound_1s_Hz_per_meV
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
5.124919923126201182e-05
2.096604740550927180e-03
2.771761691223574228e-02
1.303036515054452060e-01
2.662462524023062049e-01
2.930705957719410559e-01
2.402931454196028105e-01
1.810511210762331402e-01
1.328302370275463995e-01
9.481819346572707696e-02
6.715028827674567047e-02
4.853965406790518300e-02
3.547418321588724499e-02
2.375246636771300227e-02
1.687943625880845497e-02
1.175349135169762894e-02
7.918001281229981175e-03
5.597950032030749555e-03
3.955413196668801541e-03
2.805381165919282240e-03
1.982319026265214577e-03
1.450864830237027624e-03
1.095195387572069036e-03
8.163997437540037932e-04
6.821268417680973048e-04
5.381165919282511478e-04
3.874439461883407961e-04
3.715566944266495840e-04
3.105701473414477750e-04
2.849455477258167318e-04
2.336963484945547538e-04
2.178090967328635418e-04
1.921844971172325528e-04
1.824471492632927488e-04
1.462310484732009337e-04
1.195814648729446830e-04
9.498184924193891511e-05
8.541533205210335078e-05
7.687379884689302112e-05
6.935724962630791259e-05
6.833226564168267791e-05
5.979073243647234148e-05
5.979073243647234148e-05
5.979073243647234148e-05
2.420154045558154421e-05
